x1,x2,v
50,0,2
87,6,2
90,27,2
71,19,2
61,69,3
70,78,3
75,94,3
80,91,3
83,90,3
76,84,3
77,73,3
74,66,3
90,63,3
75,47,3
44,60,4
44,65,4
25,70,4
24,77,4
10,86,4
12,86,4
13,98,4
3,94,4
4,83,4
18,58,4
21,59,4
26,56,4

10,55,0
4,35,0
5,18,0
2,4,0
6,7,0
8,14,0
11,21,0
10,26,0
23,25,0
29,28,0
46,37,0
49,19,1
53,10,1
29,9,1
31,7,1
38,2,1
42,0,1
74,5,1
75,21,1
67,24,1
57,44,1
0,52,2
1,69,2
0,89,2
1,99,2
13,97,2
14,74,2
23,68,2
30,65,2
85,58,3
87,58,3
88,63,3
95,65,3
95,44,3
99,33,3
99,30,3
90,16,3
89,16,3
83,26,3
76,42,3
53,62,4
71,83,4
69,87,4
82,97,4
96,95,4
90,77,4
84,81,4
80,76,4
73,58,4

88,44,0
93,42,0
93,32,0
94,22,0
91,12,0
96,15,0
96,27,0
99,40,0
95,44,0
91,51,0
56,52,1
57,57,1
62,68,1
55,82,1
58,97,1
74,87,1
74,86,1
74,80,1
89,69,1
78,63,1
67,57,1
64,40,2
71,32,2
73,16,2
65,0,2
52,5,2
50,6,2
45,11,2
42,15,2
42,17,2
48,31,2
41,37,3
34,19,3
13,17,3
14,8,3
13,6,3
10,9,3
2,26,3
8,49,3
51,78,4
44,85,4
39,93,4
21,92,4
10,89,4
10,80,4
35,76,4
37,61,4
43,67,4
48,52,4

42,26,0
42,2,0
61,4,0
62,8,0
87,0,0
77,13,0
61,23,0
55,27,0
49,63,1
38,62,1
24,65,1
23,76,1
24,76,1
30,85,1
20,85,1
15,96,1
10,75,1
4,61,1
19,55,1
35,42,2
31,27,2
25,14,2
0,22,2
5,32,2
10,45,2
15,35,2
20,37,2
43,40,2
54,61,3
54,74,3
60,87,3
92,99,3
93,90,3
88,79,3
92,70,3
78,66,3
60,68,3
57,42,4
81,39,4
85,17,4
88,34,4
97,35,4
97,36,4
91,40,4
93,44,4
92,54,4
98,64,4
81,56,4
60,54,4

55,41,0
55,21,0
62,10,0
60,7,0
78,2,0
85,4,0
90,15,0
98,28,0
95,41,0
90,48,0
80,51,0
46,19,1
30,14,1
27,1,1
3,9,1
1,9,1
6,22,1
4,48,1
60,56,2
63,67,2
73,69,2
85,66,2
90,73,2
93,76,2
99,96,2
95,61,2
77,56,2
73,58,2
69,52,2
53,62,3
53,81,3
56,82,3
63,91,3
48,99,3
34,97,3
32,88,3
19,85,3
36,78,3
41,62,3
42,62,3
60,44,4
71,39,4
84,22,4
72,16,4
67,16,4
64,27,4
27,43,4
32,56,4
40,55,4

67,67,0
68,83,0
73,89,0
76,92,0
77,96,0
90,92,0
98,90,0
96,84,0
95,73,0
87,57,0
86,49,0
78,49,0
43,34,1
32,28,1
18,23,1
12,18,1
17,5,1
25,9,1
28,13,1
38,10,1
47,6,1
53,12,1
52,39,1
24,61,2
20,65,2
3,81,2
1,47,2
14,50,2
14,36,2
35,42,2
38,40,2
57,29,3
60,18,3
66,24,3
67,19,3
72,10,3
80,5,3
83,17,3
98,19,3
98,30,3
79,33,3
77,36,3
74,46,3
62,47,3
29,57,4
27,67,4
17,92,4
62,94,4
61,53,4

53,47,0
64,46,0
68,42,0
78,39,0
85,33,0
97,78,0
93,69,0
80,55,0
46,70,1
39,77,1
38,79,1
39,82,1
50,80,1
59,83,1
66,84,1
79,99,1
71,86,1
60,77,1
56,74,1
49,76,1
40,22,2
26,13,2
9,27,2
13,28,2
14,30,2
31,32,2
36,35,2
51,23,3
72,0,3
79,6,3
87,5,3
99,6,3
97,8,3
88,9,3
84,27,3
72,27,3
69,33,3
62,34,3
61,40,3
50,50,3
25,55,4
18,58,4
0,53,4
3,63,4
1,93,4
16,74,4
26,65,4
29,63,4
36,56,4

90,52,0
98,34,0
97,32,0
93,4,0
70,9,0
71,15,0
68,15,0
64,15,0
56,28,0
52,42,0
68,46,1
71,41,1
73,32,1
74,44,1
74,61,1
83,64,1
86,72,1
85,77,1
53,94,1
52,54,1
22,48,2
23,38,2
17,29,2
14,21,2
1,12,2
2,41,2
8,50,2
7,55,2
11,51,2
36,55,3
12,55,3
10,60,3
10,62,3
11,69,3
7,85,3
12,97,3
14,86,3
26,85,3
32,88,3
48,82,3
44,77,3
46,46,4
42,26,4
42,18,4
26,18,4
18,1,4
30,3,4
52,8,4
51,25,4

55,82,0
78,98,0
92,82,0
99,74,0
89,66,0
84,67,0
66,64,0
58,61,0
58,56,0
48,81,1
42,90,1
36,90,1
25,85,1
14,97,1
10,68,1
25,69,1
24,63,1
39,66,1
44,57,1
63,53,2
65,59,2
75,58,2
98,59,2
98,34,2
96,30,2
98,28,2
87,28,2
82,11,2
82,45,2
67,46,2
37,41,3
18,38,3
20,25,3
21,13,3
17,29,3
11,32,3
0,32,3
7,43,3
12,46,3
38,9,4
29,0,4
44,4,4
50,4,4
57,5,4
54,17,4
56,18,4
66,18,4
57,31,4
51,31,4

60,49,0
62,25,0
62,19,0
63,13,0
75,10,0
82,4,0
97,3,0
97,12,0
84,13,0
80,15,0
70,20,0
67,41,0
57,47,0
47,59,1
39,73,1
13,73,1
21,85,1
40,97,1
50,94,1
63,92,1
58,88,1
55,86,1
51,89,1
51,23,2
43,21,2
40,15,2
44,10,2
55,0,2
42,8,2
37,9,2
31,5,2
21,25,2
33,24,2
42,51,3
35,55,3
10,69,3
2,90,3
7,38,3
18,44,3
28,44,3
66,70,4
73,73,4
72,74,4
71,88,4
87,97,4
97,85,4
93,82,4
83,64,4
68,54,4

9,45,0
1,52,0
4,74,0
6,78,0
18,90,0
28,83,0
31,84,0
32,85,0
34,72,0
35,68,0
40,69,0
45,56,0
52,86,1
54,93,1
63,86,1
66,96,1
78,94,1
82,97,1
85,77,1
68,80,1
69,69,1
58,70,1
56,68,1
52,58,1
58,39,2
70,37,2
97,36,2
94,29,2
91,60,2
82,57,2
76,66,2
71,70,2
71,65,2
70,64,2
46,10,3
79,1,3
78,1,3
60,22,3
60,32,3
51,39,3
41,38,4
25,38,4
17,31,4
14,21,4
17,13,4
32,0,4
34,18,4
31,20,4
43,24,4

50,17,0
50,15,0
50,9,0
58,8,0
62,1,0
80,2,0
95,1,0
99,11,0
92,17,0
79,19,0
79,33,0
69,35,0
68,49,1
91,43,1
90,37,1
88,36,1
94,26,1
97,41,1
95,72,1
84,74,1
68,58,1
51,57,1
47,52,2
30,72,2
10,93,2
2,92,2
4,74,2
16,66,2
22,67,2
26,61,2
50,72,3
50,98,3
73,97,3
86,97,3
87,89,3
71,92,3
62,84,3
66,77,3
56,62,3
44,27,4
42,25,4
48,15,4
49,2,4
11,4,4
15,6,4
22,10,4
26,10,4
32,38,4
41,36,4

53,6,0
49,0,0
27,5,0
23,12,0
15,13,0
3,13,0
13,27,0
24,36,0
24,43,0
38,43,0
70,58,1
89,80,1
89,85,1
95,92,1
79,92,1
80,89,1
59,88,1
51,99,1
50,97,1
53,65,2
46,74,2
38,77,2
38,83,2
42,85,2
34,88,2
33,89,2
6,85,2
0,58,2
10,60,2
10,56,2
29,56,2
79,46,3
72,35,3
77,31,3
77,12,3
85,6,3
93,6,3
76,13,3
67,21,3
52,35,3
42,46,4
26,46,4
21,42,4
22,52,4
23,54,4
16,64,4
23,70,4
43,71,4
43,63,4

54,61,0
62,62,0
62,73,0
60,76,0
76,76,0
81,70,0
87,71,0
88,86,0
82,98,0
70,89,0
49,90,0
56,80,0
51,56,0
50,71,1
38,74,1
24,78,1
9,83,1
5,89,1
13,88,1
11,94,1
3,99,1
32,99,1
36,87,1
43,86,1
48,70,1
58,23,2
75,18,2
92,16,2
87,7,2
84,7,2
63,9,2
59,4,2
45,14,2
43,17,2
44,39,2
78,46,3
99,53,3
90,35,3
91,28,3
80,28,3
68,36,3
48,72,4
21,74,4
15,43,4
8,35,4
14,26,4
24,39,4
35,36,4
40,45,4

49,74,0
44,85,0
29,91,0
24,97,0
15,92,0
0,88,0
5,84,0
3,67,0
6,62,0
11,53,0
71,48,1
78,53,1
84,57,1
89,61,1
95,81,1
98,87,1
89,86,1
92,90,1
82,94,1
81,67,1
79,66,1
80,62,1
71,53,1
44,61,2
36,61,2
19,68,2
29,77,2
31,81,2
41,83,2
51,83,2
74,83,2
57,71,2
63,43,3
62,38,3
84,28,3
75,22,3
73,13,3
84,10,3
81,1,3
50,3,3
54,33,3
41,41,4
36,39,4
23,44,4
21,32,4
7,28,4
22,22,4
38,30,4
48,35,4

48,42,0
47,37,0
53,31,0
57,28,0
65,17,0
71,11,0
81,8,0
86,9,0
89,6,0
97,8,0
92,29,0
88,26,0
81,27,0
68,43,0
53,4,1
41,4,1
32,1,1
5,18,1
0,21,1
27,21,1
39,40,1
53,75,2
53,99,2
17,99,2
7,99,2
16,98,2
36,88,2
39,90,2
43,73,2
56,64,3
71,81,3
64,96,3
74,94,3
77,96,3
86,91,3
99,72,3
95,70,3
96,54,3
44,51,4
42,53,4
36,67,4
35,71,4
30,75,4
23,70,4
15,71,4
16,59,4
4,57,4
0,57,4
9,54,4

78,50,0
88,37,0
84,17,0
89,0,0
99,12,0
80,13,0
65,15,0
65,25,0
60,31,0
59,44,0
47,44,1
22,38,1
22,15,1
22,16,1
18,16,1
12,0,1
57,2,1
57,6,1
50,38,1
43,11,2
40,14,2
36,22,2
17,21,2
16,23,2
11,32,2
11,34,2
9,55,2
3,58,2
19,52,2
42,50,3
21,66,3
17,63,3
12,75,3
2,83,3
17,83,3
17,84,3
12,93,3
34,94,3
31,87,3
31,79,3
45,62,3
70,54,4
73,83,4
75,99,4
99,91,4
67,81,4
56,75,4
56,66,4
54,55,4

45,62,0
42,72,0
34,77,0
42,85,0
47,88,0
19,87,0
15,80,0
5,63,0
3,56,0
16,47,1
12,26,1
9,3,1
14,13,1
27,15,1
29,18,1
24,30,1
37,30,1
66,42,2
68,17,2
81,18,2
78,16,2
78,9,2
92,7,2
95,24,2
86,38,2
88,47,2
54,42,3
59,11,3
62,10,3
50,0,3
39,7,3
32,11,3
30,12,3
32,13,3
34,26,3
36,66,3
37,57,3
59,52,4
73,52,4
85,61,4
92,64,4
83,71,4
88,83,4
86,89,4
87,97,4
82,94,4
79,82,4
60,78,4
57,60,4

63,32,0
99,28,0
98,5,0
96,10,0
87,9,0
78,15,0
77,14,0
72,13,0
67,27,0
67,37,0
17,40,1
6,48,1
14,51,1
26,61,1
33,70,1
34,72,1
69,75,1
75,71,1
70,67,1
48,39,2
43,27,2
21,26,2
14,12,2
5,8,2
17,4,2
36,0,2
39,0,2
42,3,2
51,9,2
49,22,2
34,64,3
18,64,3
15,68,3
9,64,3
8,74,3
2,78,3
2,87,3
2,97,3
26,90,3
21,84,3
41,66,3
60,81,4
62,83,4
63,98,4
82,91,4
97,94,4
98,76,4
87,63,4
76,57,4

55,55,0
72,65,0
66,67,0
65,76,0
68,82,0
91,93,0
99,78,0
93,47,0
24,43,1
17,37,1
4,31,1
0,30,1
4,0,1
17,3,1
16,8,1
43,9,1
43,29,1
49,32,1
41,24,2
33,34,2
35,70,2
41,77,2
43,85,2
40,88,2
40,93,2
56,89,2
53,83,2
49,79,2
56,32,3
58,35,3
61,33,3
75,30,3
88,29,3
98,20,3
87,3,3
81,21,3
65,37,3
67,43,3
60,52,3
32,51,4
26,52,4
8,56,4
10,61,4
14,69,4
13,72,4
4,75,4
7,91,4
22,79,4
23,67,4

49,45,0
34,41,0
38,35,0
47,31,0
99,33,0
94,43,0
93,66,0
92,59,0
33,56,1
33,63,1
31,73,1
30,84,1
33,89,1
14,89,1
4,68,1
8,58,1
22,60,1
25,52,1
40,97,2
41,92,2
63,90,2
72,89,2
89,93,2
91,81,2
71,81,2
54,70,2
63,35,3
80,20,3
83,22,3
92,10,3
95,10,3
96,10,3
98,1,3
91,4,3
91,1,3
70,1,3
62,1,3
59,37,3
49,29,4
46,23,4
28,18,4
18,0,4
8,1,4
0,8,4
7,23,4
14,25,4
13,42,4
19,42,4
30,46,4

50,23,0
56,15,0
49,4,0
57,4,0
77,0,0
79,4,0
88,32,0
66,34,0
56,44,0
62,73,1
64,82,1
72,83,1
72,87,1
76,91,1
98,81,1
95,78,1
94,76,1
86,69,1
85,48,1
76,48,1
70,48,1
15,63,2
17,66,2
4,66,2
4,91,2
22,83,2
31,55,2
51,33,3
48,31,3
23,25,3
25,18,3
25,8,3
7,14,3
13,19,3
16,37,3
14,39,3
12,47,3
17,45,3
34,44,3
42,48,3
65,73,4
66,87,4
56,97,4
39,97,4
24,98,4
25,95,4
40,84,4
44,83,4
46,73,4

72,45,0
83,42,0
78,26,0
79,20,0
63,1,0
49,0,0
52,9,0
48,12,0
43,11,0
41,26,0
35,31,1
32,30,1
4,31,1
3,32,1
2,43,1
10,78,1
11,70,1
34,70,1
59,56,2
72,63,2
72,74,2
73,87,2
68,84,2
68,98,2
41,98,2
34,98,2
42,86,2
49,89,2
49,53,2
87,45,3
88,33,3
93,25,3
96,5,3
99,9,3
98,14,3
97,41,3
91,52,3
75,50,3
40,30,4
35,22,4
24,5,4
5,11,4
8,12,4
10,14,4
14,20,4
14,44,4
21,52,4
23,57,4
32,55,4

55,31,0
55,27,0
62,27,0
72,25,0
74,23,0
64,8,0
53,0,0
31,7,0
31,18,0
37,31,0
42,36,0
60,58,1
63,67,1
71,93,1
78,96,1
87,94,1
98,80,1
94,78,1
93,75,1
93,63,1
92,67,1
77,67,1
64,58,1
35,69,2
30,68,2
22,68,2
15,99,2
18,98,2
27,82,2
28,83,2
34,83,2
46,93,2
36,44,3
29,38,3
26,32,3
12,5,3
4,21,3
8,34,3
4,41,3
1,44,3
3,44,3
51,32,4
78,28,4
81,6,4
81,1,4
82,12,4
89,20,4
89,25,4
96,44,4

50,23,0
48,15,0
43,3,0
42,8,0
38,12,0
31,12,0
37,38,0
39,61,1
38,68,1
26,70,1
8,78,1
11,84,1
5,91,1
18,93,1
23,89,1
24,81,1
30,83,1
31,83,1
44,82,1
46,79,1
70,6,2
83,0,2
97,9,2
97,17,2
86,35,2
86,38,2
83,41,2
79,41,2
55,50,2
32,43,3
27,44,3
22,45,3
21,21,3
14,10,3
8,13,3
0,20,3
5,22,3
6,40,3
16,42,3
16,53,3
17,54,3
57,55,4
69,70,4
84,81,4
87,82,4
89,81,4
98,79,4
91,65,4
70,55,4

40,31,0
43,24,0
18,7,0
31,5,0
31,1,0
36,1,0
40,3,0
49,11,0
54,11,0
48,27,0
37,62,1
17,65,1
18,58,1
5,33,1
6,21,1
12,28,1
16,35,1
26,38,1
31,39,1
29,43,1
36,42,1
36,47,1
46,49,1
40,78,2
32,77,2
18,72,2
0,81,2
27,80,2
33,88,2
47,89,2
51,89,2
55,26,3
60,15,3
63,17,3
66,17,3
70,7,3
84,10,3
98,9,3
98,30,3
97,52,3
96,53,3
61,68,4
67,84,4
66,94,4
78,93,4
81,91,4
76,86,4
91,67,4
81,56,4

51,62,0
57,74,0
63,82,0
71,78,0
70,90,0
69,97,0
90,93,0
86,88,0
86,83,0
97,80,0
77,77,0
76,65,0
33,76,1
26,86,1
29,90,1
31,97,1
52,39,2
76,37,2
82,34,2
82,27,2
94,24,2
94,14,2
88,3,2
57,9,2
66,20,2
70,26,2
69,27,2
67,27,2
67,31,2
65,47,2
39,39,3
43,17,3
16,5,3
13,5,3
3,5,3
1,22,3
27,32,3
24,36,3
25,42,3
32,44,3
27,53,4
21,66,4
15,81,4
13,83,4
9,98,4
3,91,4
0,70,4
7,71,4
6,66,4

56,20,0
64,18,0
82,22,0
77,20,0
74,2,0
69,8,0
57,6,0
53,1,0
47,4,0
43,16,0
41,23,0
47,49,0
49,81,1
76,93,1
79,95,1
84,96,1
93,93,1
85,81,1
80,73,1
83,66,1
36,50,2
18,60,2
14,60,2
4,57,2
10,42,2
3,33,2
7,12,2
19,35,2
23,35,2
30,40,2
28,45,3
28,65,3
25,69,3
22,81,3
14,89,3
7,89,3
25,84,3
30,83,3
31,87,3
38,91,3
45,78,3
42,69,3
45,63,3
68,42,4
94,42,4
97,49,4
95,63,4
93,57,4
83,49,4

48,56,0
41,72,0
43,99,0
11,96,0
9,96,0
2,87,0
1,85,0
2,67,0
20,65,0
25,61,0
38,51,0
43,26,1
34,12,1
56,1,1
54,10,1
47,19,1
51,38,2
74,35,2
70,9,2
81,7,2
91,6,2
93,26,2
91,36,2
89,47,2
50,76,3
69,76,3
75,71,3
90,68,3
89,73,3
92,90,3
66,92,3
61,90,3
58,86,3
52,89,3
47,90,3
50,86,3
26,40,4
22,41,4
15,37,4
13,37,4
14,25,4
23,14,4
17,11,4
2,15,4
0,31,4
1,35,4
4,48,4
5,49,4
10,49,4

22,49,0
5,59,0
5,67,0
3,87,0
16,93,0
21,86,0
13,78,0
21,77,0
28,79,0
29,78,0
40,51,0
50,57,1
59,88,1
50,89,1
43,88,1
35,96,1
35,91,1
37,91,1
37,20,1
47,30,1
59,71,2
68,71,2
67,96,2
72,97,2
96,95,2
90,93,2
76,85,2
77,80,2
73,81,2
75,64,2
78,60,2
76,58,2
54,52,2
71,44,3
90,48,3
94,32,3
98,29,3
90,2,3
73,26,3
48,26,3
48,41,3
45,38,4
4,34,4
2,30,4
9,27,4
15,13,4
28,0,4
53,16,4
54,36,4

72,47,0
82,25,0
74,20,0
72,20,0
62,8,0
53,11,0
44,13,0
43,18,0
35,18,0
38,31,0
43,48,0
50,67,1
48,73,1
48,77,1
43,83,1
33,80,1
15,98,1
2,82,1
6,62,1
9,53,1
38,46,2
36,37,2
32,38,2
27,26,2
14,22,2
4,22,2
12,15,2
15,29,2
15,35,2
22,60,2
25,62,2
58,65,3
60,87,3
59,95,3
73,93,3
85,92,3
86,89,3
83,86,3
86,69,3
83,73,3
71,80,3
62,60,3
67,43,4
89,42,4
96,6,4
99,53,4
86,51,4
82,49,4
82,50,4

49,44,0
47,15,0
66,17,0
70,10,0
77,9,0
71,21,0
75,34,0
68,39,0
59,41,0
57,46,0
50,47,0
35,45,1
25,35,1
21,13,1
8,0,1
32,7,1
44,19,1
43,20,1
46,32,1
49,56,2
48,61,2
48,75,2
41,91,2
25,99,2
65,96,2
54,87,2
55,75,2
52,75,2
20,45,3
18,50,3
2,58,3
8,89,3
12,84,3
14,84,3
18,84,3
19,69,3
35,70,3
34,64,3
47,59,3
61,54,4
70,52,4
76,56,4
74,73,4
76,81,4
76,63,4
92,58,4
92,57,4
90,48,4
79,48,4

57,78,0
82,81,0
89,83,0
88,89,0
89,94,0
84,95,0
81,96,0
54,96,0
48,90,0
33,62,1
33,79,1
28,79,1
24,81,1
18,83,1
15,68,1
10,76,1
1,73,1
0,67,1
0,62,1
2,54,1
10,57,1
18,54,1
19,54,1
25,51,1
21,25,2
15,16,2
20,1,2
24,23,2
73,39,3
89,38,3
89,49,3
85,53,3
88,54,3
95,66,3
88,73,3
86,76,3
68,69,3
60,59,3
52,29,4
63,9,4
69,12,4
85,8,4
85,6,4
87,10,4
95,23,4
91,23,4
82,27,4
72,30,4
60,36,4

67,26,0
75,11,0
78,8,0
83,17,0
98,12,0
93,40,0
93,39,0
87,36,0
75,37,0
51,46,0
48,81,1
36,87,1
25,86,1
16,86,1
8,93,1
8,95,1
13,78,1
14,83,1
23,82,1
25,78,1
43,78,1
44,78,1
47,68,1
47,61,1
10,39,2
1,28,2
0,55,2
3,48,2
6,49,2
67,49,3
98,47,3
93,71,3
94,75,3
70,86,3
70,69,3
74,68,3
82,61,3
62,56,3
43,34,4
43,11,4
42,11,4
44,8,4
33,0,4
21,8,4
13,17,4
8,18,4
23,26,4
30,44,4
34,49,4

59,80,0
53,93,0
51,96,0
41,93,0
13,94,0
18,77,0
19,76,0
19,71,0
36,70,0
49,49,1
47,31,1
41,12,1
33,10,1
25,11,1
14,7,1
31,4,1
37,7,1
54,4,1
65,3,1
65,8,1
58,32,1
67,56,2
89,56,2
90,67,2
87,96,2
86,79,2
78,71,2
77,62,2
55,61,2
54,57,2
63,49,3
85,46,3
96,51,3
99,25,3
96,5,3
79,6,3
71,22,3
74,35,3
62,40,3
46,47,4
32,39,4
27,33,4
9,32,4
14,38,4
2,46,4
0,58,4
4,75,4
8,63,4
18,57,4

21,54,0
9,40,0
6,41,0
6,36,0
3,3,0
3,12,0
8,13,0
21,19,0
27,40,0
27,49,0
39,74,1
35,75,1
25,84,1
17,77,1
1,68,1
8,67,1
11,65,1
28,63,1
38,54,1
46,24,2
79,14,2
96,10,2
95,15,2
92,17,2
88,21,2
86,42,2
91,46,2
96,48,2
96,50,2
53,68,3
51,91,3
54,91,3
56,92,3
84,89,3
86,85,3
96,67,3
81,72,3
67,69,3
70,59,3
66,22,4
72,7,4
56,11,4
37,10,4
30,1,4
25,9,4
30,11,4
36,29,4
45,34,4
48,35,4

61,71,0
64,73,0
58,88,0
73,98,0
91,97,0
83,88,0
81,75,0
78,72,0
80,63,0
73,65,0
75,54,0
30,70,1
30,76,1
4,90,1
23,96,1
29,97,1
31,96,1
44,98,1
46,90,1
48,88,1
51,92,1
53,83,1
29,45,2
21,44,2
8,28,2
4,21,2
13,0,2
20,5,2
24,7,2
26,17,2
27,33,2
30,47,2
61,43,3
8,40,3
0,40,3
2,62,3
9,57,3
24,67,3
32,63,3
39,53,3
62,49,4
93,46,4
94,40,4
90,35,4
85,29,4
99,22,4
92,7,4
57,7,4
54,45,4

75,75,0
70,82,0
61,85,0
53,90,0
48,97,0
35,98,0
37,95,0
51,79,0
50,58,0
23,51,1
21,12,1
5,4,1
5,20,1
15,22,1
17,46,1
41,58,2
41,66,2
37,70,2
39,76,2
29,79,2
23,84,2
20,90,2
11,88,2
2,90,2
0,78,2
8,66,2
10,64,2
35,54,2
72,49,3
78,40,3
91,51,3
98,77,3
97,87,3
91,84,3
84,74,3
78,61,3
71,58,3
68,58,3
53,53,3
57,40,4
63,37,4
69,37,4
75,34,4
76,18,4
96,1,4
96,6,4
87,23,4
59,33,4
53,37,4

3,50,0
10,46,0
10,40,0
8,35,0
7,29,0
14,2,0
18,41,0
24,36,0
41,46,0
66,48,1
67,74,1
70,75,1
76,66,1
96,52,1
95,36,1
99,30,1
90,34,1
85,44,1
79,50,1
52,18,2
44,20,2
31,12,2
54,5,2
56,11,2
82,13,2
73,21,2
62,30,2
53,30,2
57,77,3
63,77,3
66,82,3
85,84,3
98,91,3
72,98,3
70,99,3
64,90,3
59,92,3
48,95,3
50,73,3
42,73,4
38,82,4
25,89,4
13,93,4
4,87,4
7,84,4
11,83,4
12,77,4
18,71,4
33,71,4

60,38,0
77,32,0
83,33,0
93,29,0
99,28,0
90,21,0
79,4,0
55,7,0
41,38,1
40,34,1
34,31,1
18,26,1
13,21,1
7,10,1
7,9,1
17,5,1
19,4,1
26,21,1
55,25,1
57,30,1
29,56,2
14,63,2
7,59,2
6,70,2
6,71,2
19,81,2
26,74,2
28,74,2
32,73,2
38,70,2
36,64,2
62,90,3
61,97,3
56,98,3
52,91,3
40,89,3
45,72,3
54,61,4
68,69,4
79,80,4
92,88,4
94,92,4
95,92,4
96,77,4
92,68,4
81,50,4
78,43,4
66,42,4
62,45,4

46,67,0
63,74,0
66,87,0
67,88,0
71,87,0
76,88,0
80,83,0
83,72,0
79,47,0
66,49,0
61,51,0
93,50,1
98,35,1
98,32,1
93,24,1
91,15,1
86,0,1
80,1,1
80,11,1
62,18,1
50,23,1
36,44,2
17,44,2
8,10,2
0,4,2
3,13,2
2,34,2
7,49,2
65,44,3
71,14,3
78,8,3
78,7,3
47,8,3
30,18,3
27,22,3
27,35,3
45,35,3
48,39,3
44,64,4
39,64,4
40,74,4
44,90,4
15,87,4
11,94,4
5,77,4
13,74,4
22,56,4
35,51,4
36,51,4

34,62,0
14,87,0
2,88,0
4,51,0
3,38,0
12,36,0
17,40,0
29,42,0
47,48,0
58,42,1
67,11,1
76,2,1
81,2,1
97,4,1
90,10,1
87,10,1
77,19,1
74,18,1
57,34,1
51,45,1
56,76,2
63,70,2
72,72,2
77,68,2
93,79,2
83,61,2
87,43,2
60,50,2
33,39,3
15,32,3
24,24,3
19,14,3
22,4,3
34,2,3
30,10,3
32,19,3
30,21,3
31,56,3
37,54,3
48,60,4
41,65,4
44,73,4
29,85,4
12,94,4
38,99,4
61,99,4
54,98,4
52,82,4
51,82,4

85,50,0
90,56,0
95,62,0
95,63,0
86,80,0
89,84,0
92,84,0
90,91,0
83,99,0
76,93,0
70,62,0
67,65,0
63,59,0
61,52,0
23,68,1
21,78,1
22,81,1
13,79,1
10,80,1
6,86,1
0,92,1
28,95,1
31,96,1
40,81,1
43,12,2
37,1,2
11,7,2
5,3,2
0,23,2
2,27,2
18,29,2
18,47,2
26,50,2
33,50,2
53,39,3
55,10,3
63,0,3
96,6,3
95,23,3
98,48,3
74,48,3
71,32,4
66,26,4
36,13,4
34,21,4
27,30,4
15,31,4
15,54,4
13,58,4

50,16,0
28,3,0
29,3,0
34,2,0
65,1,0
72,1,0
74,15,0
72,16,0
57,25,0
51,53,1
77,61,1
87,64,1
81,65,1
77,68,1
65,66,1
63,97,1
56,64,1
55,62,1
50,48,2
